tienda,sucursal,sku,nombre,categoria_url,en_stock,precio_bulto_cerrado,precio_bulto_cerrado_lista,precio_unitario,presentaciones,url_producto,fecha_scrape
maxiconsumo,sucursal_trelew,18055,JAMON CRUDO MAROLIO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,29999.89,,29999.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/jamon-crudo-marolio-1-kg-18055.html,2026-08-15T15:22:41.436864
maxiconsumo,sucursal_trelew,19016,FLAN MAROLIO CHOCOLATE 60 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,999.9,,1149.88,,https://www.maxiconsumo.com/sucursal_trelew/frescos/flan-marolio-chocolate-60-gr-19016.html,2026-08-15T15:22:41.437147
maxiconsumo,sucursal_trelew,16990,FLAN RAVANA CHOCOLATE 60 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1099.89,,1264.87,,https://www.maxiconsumo.com/sucursal_trelew/frescos/flan-ravana-chocolate-60-gr-16990.html,2026-08-15T15:22:41.437426
maxiconsumo,sucursal_trelew,27626,CHORIZO SWIFT DE CERDO 400 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4799.9,,4799.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/chorizo-swift-de-cerdo-400-gr-27626.html,2026-08-15T15:22:41.437706
maxiconsumo,sucursal_trelew,21970,MUZZARELLA MAROLIO GRANDE 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,9799.9,,9799.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/muzzarella-marolio-grande-1-kg-21970.html,2026-08-15T15:22:41.437983
maxiconsumo,sucursal_trelew,21971,MUZZARELLA MAROLIO CHICA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,9999.9,,9999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/muzzarella-marolio-chica-1-kg-21971.html,2026-08-15T15:22:41.438270
maxiconsumo,sucursal_trelew,28877,QUEBRACHO COLORADO 10 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,10999.89,,10999.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/quebracho-colorado-10-kg-28877.html,2026-08-15T15:22:41.438554
maxiconsumo,sucursal_trelew,21973,MUZZARELLA MAROLIO PORCION 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,11699.9,,11699.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/muzzarella-marolio-porcion-1-kg-21973.html,2026-08-15T15:22:41.438835
maxiconsumo,sucursal_trelew,9443,MUZZARELLA LA PAULINA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,11989.9,,11989.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/muzzarella-la-paulina-1-kg-9443.html,2026-08-15T15:22:41.439115
maxiconsumo,sucursal_trelew,19532,PICADA CARNES CONGELADA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,12999.91,,12999.91,,https://www.maxiconsumo.com/sucursal_trelew/frescos/picada-carnes-congelada-1-kg-19532.html,2026-08-15T15:22:41.439393
maxiconsumo,sucursal_trelew,28478,TAPA DE ASADO TF AL VACIO 1KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,13699.9,,13699.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/tapa-de-asado-tf-al-vacio-1kg-28478.html,2026-08-15T15:22:41.439671
maxiconsumo,sucursal_trelew,19604,PALOMITA CARNES PORCION 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,13999.9,,13999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/palomita-carnes-porcion-1-kg-19604.html,2026-08-15T15:22:41.439951
maxiconsumo,sucursal_trelew,28471,CUADRADA TF CARNES FETEADA CONGELADA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,14999.9,,14999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/cuadrada-tf-carnes-feteada-congelada-1-kg-28471.html,2026-08-15T15:22:41.440230
maxiconsumo,sucursal_trelew,19675,TORTUGUITA CARNES PORCION 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,15999.9,,15999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/tortuguita-carnes-porcion-1-kg-19675.html,2026-08-15T15:22:41.440521
maxiconsumo,sucursal_trelew,28474,NALGA TF CARNES FETEADA CONGELADA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,17999.9,,17999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/nalga-tf-carnes-feteada-congelada-1-kg-28474.html,2026-08-15T15:22:41.440798
maxiconsumo,sucursal_trelew,28479,VACIO TF CARNE COGELADO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,18999.9,,18999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/vacio-tf-carne-cogelado-1-kg-28479.html,2026-08-15T15:22:41.441074
maxiconsumo,sucursal_trelew,28476,PECETO TF CARNES PORCION CONGELADO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,21999.9,,21999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/peceto-tf-carnes-porcion-congelado-1-kg-28476.html,2026-08-15T15:22:41.441350
maxiconsumo,sucursal_trelew,19600,PICAÑA TAPA DE CUADRIL CARNES PORCION 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,21999.9,,21999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/picana-tapa-de-cuadril-carnes-porcion-1-kg-19600.html,2026-08-15T15:22:41.441624
maxiconsumo,sucursal_trelew,28469,BIFE DE CHORIZO TF AL VACIO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,22999.9,,22999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/bife-de-chorizo-tf-al-vacio-1-kg-28469.html,2026-08-15T15:22:41.441900
maxiconsumo,sucursal_trelew,19605,OJO DE BIFE CARNES PORCION  1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,23999.9,,23999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/ojo-de-bife-carnes-porcion-1-kg-19605.html,2026-08-15T15:22:41.442179
maxiconsumo,sucursal_trelew,19712,LOMO CARNES CON CORDON 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,26999.9,,26999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/lomo-carnes-con-cordon-1-kg-19712.html,2026-08-15T15:22:41.442464
maxiconsumo,sucursal_trelew,25920,GRASA DOÑA FLORA VACA 500 gr,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2199.9,,2529.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/grasa-dona-flora-vaca-500-gr-25920.html,2026-08-15T15:22:41.442742
maxiconsumo,sucursal_trelew,1189,GRASA SWIFT VACUNA 500 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,3399.89,,3909.88,,https://www.maxiconsumo.com/sucursal_trelew/frescos/grasa-swift-vacuna-500-gr-1189.html,2026-08-15T15:22:41.443025
maxiconsumo,sucursal_trelew,9201,MARGARINA DANICA SOFT POTE 200 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1399.9,,1399.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/margarina-danica-soft-pote-200-gr-9201.html,2026-08-15T15:22:41.443311
maxiconsumo,sucursal_trelew,5467,MARGARINA MARGADAN PAN 200 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1499.9,,1499.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/margarina-margadan-pan-200-gr-5467.html,2026-08-15T15:22:41.443594
maxiconsumo,sucursal_trelew,26390,LECHE ANGELITA LARGA VIDA LIVIANA 1 LT,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1849.9,,2127.38,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-angelita-larga-vida-liviana-1-lt-26390.html,2026-08-15T15:22:41.443877
maxiconsumo,sucursal_trelew,5453,MARGARINA DANICA EQUILIBRIO POTE 220 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2299.9,,2299.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/margarina-danica-equilibrio-pote-220-gr-5453.html,2026-08-15T15:22:41.444257
maxiconsumo,sucursal_trelew,22624,LECHE SANCOR BEBE ADVANCE 1 500 ML,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4799.9,,4799.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-sancor-bebe-advance-1-500-ml-22624.html,2026-08-15T15:22:41.444653
maxiconsumo,sucursal_trelew,25624,MANTECA PRIMER PREMIO PAN 500 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,6689.9,,6689.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/manteca-primer-premio-pan-500-gr-25624.html,2026-08-15T15:22:41.444944
